"filename", "language", "C#", "XML", "GLSL", "JSON", "Properties", "comment", "blank", "total"
"c:\Users\hoefn\Code Projects\OpenTK test\DustCollector\Camera.cs", "C#", 54, 0, 0, 0, 0, 0, 10, 64
"c:\Users\hoefn\Code Projects\OpenTK test\DustCollector\DataTypes.cs", "C#", 56, 0, 0, 0, 0, 0, 1, 57
"c:\Users\hoefn\Code Projects\OpenTK test\DustCollector\DustCollector.csproj", "XML", 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\hoefn\Code Projects\OpenTK test\DustCollector\Game.cs", "C#", 96, 0, 0, 0, 0, 34, 25, 155
"c:\Users\hoefn\Code Projects\OpenTK test\DustCollector\Globals.cs", "C#", 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\hoefn\Code Projects\OpenTK test\DustCollector\ParticleModel.cs", "C#", 119, 0, 0, 0, 0, 0, 12, 131
"c:\Users\hoefn\Code Projects\OpenTK test\DustCollector\Program.cs", "C#", 11, 0, 0, 0, 0, 0, 1, 12
"c:\Users\hoefn\Code Projects\OpenTK test\DustCollector\Shader.cs", "C#", 175, 0, 0, 0, 0, 9, 23, 207
"c:\Users\hoefn\Code Projects\OpenTK test\DustCollector\Shaders\Model.comp", "GLSL", 0, 0, 16, 0, 0, 23, 3, 42
"c:\Users\hoefn\Code Projects\OpenTK test\DustCollector\Shaders\Shader.frag", "GLSL", 0, 0, 8, 0, 0, 0, 2, 10
"c:\Users\hoefn\Code Projects\OpenTK test\DustCollector\Shaders\Shader.vert", "GLSL", 0, 0, 15, 0, 0, 0, 7, 22
"c:\Users\hoefn\Code Projects\OpenTK test\DustCollector\obj\Debug\net9.0\.NETCoreApp,Version=v9.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 0, 1, 1, 5
"c:\Users\hoefn\Code Projects\OpenTK test\DustCollector\obj\Debug\net9.0\DustCollector.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 0, 9, 5, 23
"c:\Users\hoefn\Code Projects\OpenTK test\DustCollector\obj\Debug\net9.0\DustCollector.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 15, 0, 1, 16
"c:\Users\hoefn\Code Projects\OpenTK test\DustCollector\obj\Debug\net9.0\DustCollector.GlobalUsings.g.cs", "C#", 7, 0, 0, 0, 0, 1, 1, 9
"c:\Users\hoefn\Code Projects\OpenTK test\DustCollector\obj\Debug\net9.0\DustCollector.sourcelink.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\hoefn\Code Projects\OpenTK test\DustCollector\obj\Debug\net9.0\OpenTKtest.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 0, 9, 5, 23
"c:\Users\hoefn\Code Projects\OpenTK test\DustCollector\obj\Debug\net9.0\OpenTKtest.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 15, 0, 1, 16
"c:\Users\hoefn\Code Projects\OpenTK test\DustCollector\obj\Debug\net9.0\OpenTKtest.GlobalUsings.g.cs", "C#", 7, 0, 0, 0, 0, 1, 1, 9
"c:\Users\hoefn\Code Projects\OpenTK test\DustCollector\obj\DustCollector.csproj.nuget.dgspec.json", "JSON", 0, 0, 0, 73, 0, 0, 0, 73
"c:\Users\hoefn\Code Projects\OpenTK test\DustCollector\obj\DustCollector.csproj.nuget.g.props", "XML", 0, 15, 0, 0, 0, 0, 0, 15
"c:\Users\hoefn\Code Projects\OpenTK test\DustCollector\obj\DustCollector.csproj.nuget.g.targets", "XML", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\hoefn\Code Projects\OpenTK test\DustCollector\obj\OpenTKtest.csproj.nuget.dgspec.json", "JSON", 0, 0, 0, 73, 0, 0, 0, 73
"c:\Users\hoefn\Code Projects\OpenTK test\DustCollector\obj\OpenTKtest.csproj.nuget.g.props", "XML", 0, 15, 0, 0, 0, 0, 0, 15
"c:\Users\hoefn\Code Projects\OpenTK test\DustCollector\obj\OpenTKtest.csproj.nuget.g.targets", "XML", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\hoefn\Code Projects\OpenTK test\DustCollector\obj\project.assets.json", "JSON", 0, 0, 0, 498, 0, 0, 0, 498
"Total", "-", 553, 46, 39, 645, 30, 87, 102, 1502